gene,GABAergic.LGN_Inh_CTXN3,GABAergic.LGN_Inh_LAMP5,GABAergic.LGN_Inh_NTRK1,GABAergic.LGN_Inh_TRPC4,Glutamatergic.LGN_Exc_BTNL9,Glutamatergic.LGN_Exc_PRKCG_BCHE,Glutamatergic.LGN_Exc_PRKCG_GRB14,Non-Neuronal.Astro_CPAMD8,Non-Neuronal.Astro_LGR6,Non-Neuronal.Micro_C1QB,Non-Neuronal.OPC_PDGFRA,Non-Neuronal.Oligo_MAG
ENSG00000161204,0.0,0.0,0.0,0.0,0.0,0.05573970690858339,0.0,0.005499901787468081,0.0,0.0,0.0,0.0
ENSG00000160179,0.05719849971148298,0.0,0.4056447042864645,0.0,0.0,0.2829181800198911,0.0,0.0,0.0,0.0,0.4009967969353647,0.0
ENSG00000118777,0.04837251356238698,0.0,0.011138014527845037,0.0,0.0,0.0,0.19065817492124693,0.05101343715053891,0.0,0.0,0.5973818694746511,0.0
ENSG00000172350,0.0,0.0,0.0,0.20780018196327346,0.1691842900302115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000138075,0.6367414574573612,0.0,0.0,0.0,0.04046180405697022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000144827,0.0,0.0007716049382716049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000106077,0.0,0.0,0.0,0.0,0.059020284851100564,0.03968946266573622,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000100997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1136759581881533
ENSG00000131969,0.0,0.0,0.0,0.0,0.2785752254326259,0.6372289409984634,0.0,0.0,0.0,0.0,0.02542562724014337,0.0
ENSG00000248487,0.09016156953260243,0.3180493171610675,0.11589078030962342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08406073566040992,0.0
ENSG00000129968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3433759411026569
ENSG00000107362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33504358992730865
ENSG00000136379,0.0,0.0,0.39000142376398944,0.023149772009821115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
