gene,Cerebellum-Astrocytes,Cerebellum-Granule_neurons,Cerebellum-Inhibitory_interneurons,Cerebellum-Microglia,Cerebellum-Oligodendrocytes,Cerebellum-Purkinje_neurons,Cerebellum-SLC24A4_PEX5L_positive_cells,Cerebellum-Unipolar_brush_cells,Cerebellum-Vascular_endothelial_cells
ENSG00000008294,0.08705653033267162,0.0,0.0,0.0,0.0,0.0680207681195772,0.08037607510778812,0.0,0.0
ENSG00000008300,0.0,0.016995985905054013,0.061457363736159426,0.0,0.0,0.08518426554887389,0.0,0.033438065569261106,0.0
ENSG00000008311,0.05315071002190111,0.0,0.0,0.0,0.019313966769127985,0.6533818881246382,0.0,0.0,0.0
ENSG00000008394,0.8996385443651964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000008405,0.0,0.0,0.0,0.0,0.0,0.36383363509268246,0.006702911383438408,0.0,0.018242931364962526
ENSG00000008441,0.4851863945940915,0.0,0.12925324008613134,0.0,0.0,0.0,0.0,0.07068985143185917,0.0
ENSG00000008513,0.0,0.0,0.0,0.3948120480321466,0.0,0.0,0.0,0.026866247974216495,0.5334770655178549
ENSG00000008516,0.0,0.0,0.0,0.0,0.010831501208594994,0.0077978817299205645,0.023075414933154917,0.0,0.8760933505134685
ENSG00000008517,0.0,0.0,0.03086423575751459,0.0,0.0,0.03613216558597902,0.006806543385490754,0.003674540682414698,0.8003252084261231
ENSG00000008735,0.0,0.0,0.0,0.0,0.0,0.21708252223182425,0.023946467190071784,0.00030165912518853697,0.0
ENSG00000008838,0.0,0.0,0.0,0.0,0.0,0.16284478697954877,0.12119942088845857,0.0,0.025387124763405444
ENSG00000008869,0.0,0.0,0.0037322768974145117,0.0,0.0,0.3065696377319739,0.10610106418520625,0.0,0.0
ENSG00000008952,0.0,0.0,0.0,0.0,0.0,0.12556817165493583,0.20558293016873083,0.0,0.022331136084168864
ENSG00000008988,0.0,0.002170022993621124,0.0,0.01861986489563616,0.0,0.0,0.0,0.0,0.2781902514434496
ENSG00000009307,0.0,0.001455026455026455,0.0,0.0,0.0,0.09093819474034558,0.0016693058854579043,0.0,0.08045058271479333
ENSG00000009335,0.0,0.0,0.0,0.0,0.0,0.22245671897309768,0.08222768653599703,0.0,0.0003420299077314668
ENSG00000009413,0.0,0.0,0.004378900087422249,0.0,0.33793466089797214,0.2569782688009335,0.18000410077752235,0.0242158144953427,0.0
ENSG00000009694,0.0,0.35158122437754175,0.21812318314420234,0.0,0.3888133494083078,0.0,0.41749721412747226,0.5208849481760324,0.0
ENSG00000009709,0.8617172342183921,0.0,0.0,0.0,0.0028083700440528635,0.0,0.0,0.0,0.0
ENSG00000010017,0.0,0.0,0.0,0.14513602930382527,0.009094256259204712,0.17217963845923065,0.00690331940956196,0.0,0.0
ENSG00000010219,0.14528301842293162,0.0,0.0,0.20940884728869927,0.163488593454346,0.0,0.0,0.0,0.1025265753566089
ENSG00000010244,0.0,0.0,0.0,0.0,0.0,0.19608407649912954,0.0004943717675692121,0.0,0.0037675593373395337
ENSG00000010278,0.5557929432133729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40004358882925656
ENSG00000010292,0.24205363844658434,0.0,0.0,0.005624903775393168,0.0,0.0,0.0,0.0,0.09638965408119388
ENSG00000010319,0.0,0.0,0.0,0.0,0.0,0.0,0.03075323997608135,0.0,0.9532721003346453
ENSG00000010327,0.0,0.0,0.0,0.6309975600646843,0.0,0.00965552734023306,0.07554762624767407,0.0,0.41947943089113354
ENSG00000010404,0.0,0.0,0.0,0.0,0.0,0.37001635714275327,0.30494783155185057,0.0,0.0
ENSG00000010438,0.0,0.0,0.0,0.0,0.0,0.5476724516693477,0.36805241172565195,0.004523424878836834,0.0077141529472662665
ENSG00000010610,0.0,0.0,0.006607629427792916,0.8536240704665142,0.0,0.0,0.017647405454978147,0.0,0.31261267214860544
ENSG00000010803,0.0,0.0,0.0,0.0,0.0,0.4688272764305479,0.13175826033813726,0.0,0.0
ENSG00000010810,0.15999375250158715,0.0,0.002081384471468662,0.0,0.10650232467819887,0.2527574144358468,0.0009488559892328399,0.0,0.0
ENSG00000010818,0.0,0.2364047590933927,0.0,0.0,0.0,0.0,0.09571453460087209,0.2211447951898748,0.0
ENSG00000011028,0.045891040147985,0.0,0.0,0.3570720006324751,0.2829467146321864,0.0,0.04141064147019056,0.0,0.25911510443325986
ENSG00000011083,0.0,0.0,0.0,0.0,0.009377736095307117,0.6672972879264953,0.5713556603115914,0.0,0.0
ENSG00000011105,0.0,0.006226355792669177,0.0,0.0,0.0,0.11592894453779157,0.0,0.5579228077868518,0.17651806167973427
ENSG00000011114,0.025601619564030283,0.0,0.0,0.0,0.0,0.18974206377122774,0.09934444949811859,0.0,0.0
ENSG00000011198,0.0,0.0,0.034264174657098904,0.0,0.0,0.3014253969269179,0.18200651457245368,0.0,0.0030865570917514486
ENSG00000011201,0.6072873116316716,0.0,0.5976971861043436,0.01226673531088199,0.0,0.0,0.0,0.0,0.0
ENSG00000011243,0.0,0.0,0.0,0.0,0.0,0.1362153094921657,0.015107704502330266,0.0,0.0
ENSG00000011275,0.07193410244995045,0.0,0.0,0.0353950566619177,0.002506008922473813,0.002292484278678855,0.005043608344111474,0.0,0.015890437049566948
ENSG00000011304,0.15080861240571183,0.0,0.0,0.005859669625855638,0.011779897079089684,0.0,0.0,0.0,0.3633801727357225
ENSG00000011332,0.0,0.0,0.0,0.0,0.0,0.5545159993516554,0.2990761541012055,0.0,0.0
ENSG00000011347,0.0,0.3719195765860981,0.0,0.0,0.0,0.1801759020037031,0.4869554161918765,0.0,0.0
ENSG00000011405,0.005642671458237254,0.0,0.0,0.0,0.0,0.171141622537447,0.0,0.0,0.13857481652577353
ENSG00000011426,0.39806050472583576,0.0,0.0,0.06905770483367304,0.03446511229082934,0.0,0.0,0.0,0.011260890279787035
ENSG00000011454,0.0987052993917913,0.0,0.0,0.003732638888888889,0.0,0.030215339792561358,0.022067315535440807,0.0,0.009977854291951626
ENSG00000011465,0.6491014470982865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5827489756445309
ENSG00000011566,0.0,0.0,0.004934823091247673,0.0,0.0,0.2659134071187809,0.15722993222941664,0.0,0.08210669536739315
ENSG00000011600,0.0,0.0,0.0,0.9130280503793764,0.028883902736420778,0.0,0.001092074287208998,0.017909538113273255,0.01953007086155781
ENSG00000011677,0.0,0.0,0.10133245466485853,0.009937438749718284,0.09581472067663886,0.25397896934496056,0.3898697713341006,0.0,0.0
ENSG00000012048,0.5532240363087318,0.0,0.0,0.020992567857890138,0.03400998457109745,0.0,0.0,0.0,0.0
ENSG00000012232,0.18193994657653542,0.0,0.0764207437321445,0.0,0.0,0.0,0.008684010749757982,0.0,0.0
ENSG00000012983,0.0009926973984481972,0.0,0.0,0.0,0.290831613020738,0.12375786364003623,0.16753188468780625,0.0,0.012651476340334871
ENSG00000013293,0.0,0.0,0.40874009298924086,0.0,0.00645395535159553,0.07212493946934459,0.3262223337624361,0.11950836462374254,0.0
